Party_English,Paty_OwnLanguage,Abbreviation,country_names,source_file,source_sheet,source_row
Together Movement,Движение Заедно,DM,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,49
VOLT,ВОЛТ,VOLT,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,50
Direct Democracy,Пряка демокрация,DD,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,51
Bulgarian National Unification,Българско национално обединение,BNO,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,52
Rise (RDP–ENP–BNF Chicago–SSD–BDS R),Възход (РДП–ЕНП–БНФ Чикаго–ССД–БДС Р),Rise,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,53
Independents,Независими,NA,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,54
Croatian Democratic Union,Hrvatska demokratska zajednica​,HDZ,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,55
Rivers of Justice,Rijeke pravde,SDP+,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,56
Homeland Movement,Domovinski pokret​,DP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,57
We can!,Možemo!​,Mozemo!,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,58
Fair Play List 9,NA,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,59
Independent list of Nina Skočak,Nine Skočak,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,60
The Bridge–HS–HSP,Most nezavisnih lista – Hrvatska stranka – Hrvatska stranka prava,Most-HS-HSP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,61
Law and Justice,Pravo i Pravda​,PIP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,62
Determination and Justice[hr],Odluka i pravda,OIP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,63
Independent list of Ladislav Ilčić,Ladislava Ilčića,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,64
Ričard Independent,Ričarda,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,65
Croatian Party of Pensioners,Hrvatska stranka umirovljenika​,HSU,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,66
Workers' Front,Radnička fronta​,RF,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,67
Pensioners Together,Stranka umirovljenika​,SU,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,68
Movement for Animals,Pokret za životinje,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,69
Agrarian Party,Agrarna stranka,AS,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,70
Party of Ivan Pernar,Stranka Ivana Pernara​,SIP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,71
Green Alternative – ORaH,Održivi razvoj Hrvatske – ORaH​,ORaH,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,72
Autochthonous Croatian Party of Rights,Autohtona-Hrvatska stranka prava​,A-HSP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,73
Republic,Republika,Republika,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,74
Movement for a Modern Croatia,Pokret za modernu Hrvatsku,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,75
Croatian Civil Resistance Party,Stranka hrvatskog građanskog otpora,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,76
Dalmatian Action,Dalmatinska akcija,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,77
Righteous Croatia,Pravedna Hrvatska,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,78
Public Good,Javno dobro,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,79
Croatian Democratic Union,Hrvatska demokratska zajednica,HDZ,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,80
Social Democratic Party,Socijaldemokratska partija Hrvatske​,SDP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,81
HRAST–HKS–HSP AS–UHD,HRAST–Hrvatska konzervativna stranka–Hrvatska stranka prava dr. Ante Starčević–Ujedinjeni Hrvatski Domoljubi,HRAST–HKS–HSP AS–UHD,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,82
Independent Candidate – Mislav Kolakušić,Mislav Kolakušić,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,83
Human Shield,Živi zid,ZZ,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,84
HSS–GLAS–IDS–HSU–PGS–DEMOKRATI–LABURISTI,HSS–Građansko-liberalni savez–Istarski demokratski sabor–Hrvatska stranka umirovljenika–Primorsko-goranski savez–Demokrati–Hrvatski laburisti,HSS–GLAS–IDS–HSU–PGS–DEMOKRATI–LABURISTI,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,85
Bridge of Independent Lists,Most nezavisnih lista,MOST,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,86
Independent Candidate – Marijana Petir,Marijana Petir,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,87
NHR–HSP,Neovisni za Hrvatsku–Hrvatska stranka prava,NHR–HSP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,88
Independent Democratic Serb Party,Samostalna demokratska srpska stranka,SDSS,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,89
Croatian People's Party – Liberal Democrats,Hrvatska narodna stranka – Liberalni demokrati,HNS-LD,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,90
"Party of Anti-corruption, Development and Transparency","Stranka protiv korupcije, razvoja i transparentnosti",NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,91
Bandić Milan 365 – Labour and Solidarity Party,Bandić Milan 365 – Stranka rada i solidarnosti,BM-365,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,92
We can!–NL–ORaH,Možemo!–Nova ljevica–Održivi razvoj Hrvatske,Možemo!–NL–ORaH,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,93
Pametno–UK,Pametno–Unija Kvarnera,Pametno–UK,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,94
People's Party – Reformists,Narodna stranka – Reformisti,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,95
Green List,Zelena lista,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,96
Croatian Social Liberal Party,Hrvatska socijalno-liberalna stranka,HSLS,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,97
Croatian Democratic Party,Hrvatska demokratska stranka,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,98
Authentic Croatian Party of Rights,Autohtona–Hrvatska stranka prava,A-HSP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,99
Let's Unblock Croatia,Odblokirajmo Hrvatsku,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,100
Party of People's and Civic Action,Stranka narodnog i građanskog djelovanja,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,101
Croatian Demochristian Party,Hrvatska demokršćanska stranka,HDS,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,102
RF–SRP,Radnička fronta–Socijalistička radnička partija,RF-SRP,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,103
Movement for a Modern Croatia,Pokret za modernu Hrvatsku,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,104
Democratic Alliance of Serbs,Demokratski savez Srba,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,105
Croatian Defence People's Party,Hrvatska obrambena narodna stranka,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,106
My Beloved Croatia,Moja voljena Hrvatska,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,107
Zagorje Party for Zagreb,Zagorska stranka za Zagreb,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,108
Free Croatia,Slobodna Hrvatska,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,109
Croatian Community Party,Stranka hrvatske zajednice,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,110
Croatian Party of Order,Stranka hrvatskog reda,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,111
Freedom Party of Croatia,Stranka slobode Hrvatske,NA,Croatia,party_names_merged 4(1) (2).xlsx,Sheet1,112
National Coalition Party,Kokoomus,KOK,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,113
Left Alliance,Vasemmistoliitto,VAS,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,114
Social Democratic Party of Finland,Suomen Sosialidemokraattinen Puolue,SDP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,115
Centre Party,Suomen Keskusta,KESK,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,116
Green League,Vihreä liitto,VIHR,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,117
Finns Party,Perussuomalaiset,PS,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,118
Swedish People's Party of Finland,Suomen ruotsalainen kansanpuolue,RKP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,119
Christian Democrats,Kristillisdemokraatit,KD,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,120
Freedom Alliance,Vapausliitto,-,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,121
Movement Now,Liike Nyt,LIIKE,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,122
Liberal Party – Freedom to Choose,Liberaalipuolue – Vapaus valita,LIBE,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,123
Communist Party of Finland,Suomen Kommunistinen Puolue,SKP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,124
The Open Party,Avoin puolue,AVOIN,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,125
Truth Party,Totuuspuolue,-,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,126
National Coalition Party,Kokoomus,KOK,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,127
Green League,Vihreä liitto,VIHR,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,128
Social Democratic Party,Suomen Sosialidemokraattinen Puolue,SDP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,129
Finns Party,Perussuomalaiset,PS,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,130
Centre Party,Suomen Keskusta,KESK,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,131
Left Alliance,Vasemmistoliitto,VAS,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,132
Swedish People's Party of Finland,Suomen ruotsalainen kansanpuolue,RKP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,133
Christian Democrats,Kristillisdemokraatit,KD,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,134
Seven Star Movement,Seitsemän tähden liike,STL,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,135
Pirate Party,Piraattipuolue,Piraattipuolue,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,136
Blue Reform,Sininen tulevaisuus,SIN,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,137
Feminist Party,Feministinen puolue​,FP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,138
Communist Party of Finland,Suomen Kommunistinen Puolue,SKP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,139
Liberal Party – Freedom to Choose,Liberaalipuolue – Vapaus valita,LIBE,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,140
Animal Justice Party,Eläinoikeuspuolue,EOP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,141
Finnish People First,Suomen Kansa Ensin,SKE,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,142
Citizens' Party,Kansalaispuolue​,KP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,143
Independents,Sitoutumattomat,NA,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,144
National Rally–LAF–LDP,Rassemblement National–Ligue des Agriculteurs Français–Les Démocrates Populaires,RN,France,party_names_merged 4(1) (2).xlsx,Sheet1,145
Renaissance–MoDem–Horizons–RAD–UDI–FP–FED–CD–CÉR,Renaissance–MoDem–Horizons–Parti Radical–Union des Démocrates et Indépendants–Force Parisienne–Front Européen Démocrate–Centre Démocrate–Centre Écologiste Radical,Besoin d'Europe,France,party_names_merged 4(1) (2).xlsx,Sheet1,146
Socialist Party–Place Publique,Parti Socialiste–Place Publique,Réveiller l'Europe,France,party_names_merged 4(1) (2).xlsx,Sheet1,147
La France Insoumise–PG–GES–REV–Péyi-A–PLR,La France Insoumise–Parti de Gauche–Génération.s–Révolution Écologique–Péyi-A–Parti de la Liberté et de la Révolution,LFI,France,party_names_merged 4(1) (2).xlsx,Sheet1,148
The Republicans–The Centrists,Les Républicains–Les Centristes,LR–LC,France,party_names_merged 4(1) (2).xlsx,Sheet1,149
The Ecologists–AA,Les Écologistes–Europe Ecologie Les Verts,LE–EELV,France,party_names_merged 4(1) (2).xlsx,Sheet1,150
Reconquête–MC,Reconquête–Mouvement Citoyen,REC–MC,France,party_names_merged 4(1) (2).xlsx,Sheet1,151
French Communist Party–FGR–PCR–PCM–HeD,Parti Communiste Français–Front Gauche Républicain–Parti Communiste Révolutionnaire–Parti Communiste Martiniquais–Héritiers de la Déportation,PCF–FGR–PCR–PCM–HeD,France,party_names_merged 4(1) (2).xlsx,Sheet1,152
Rural Alliance,Alliance Rurale,AR,France,party_names_merged 4(1) (2).xlsx,Sheet1,153
Animalist Party,Parti Animaliste,PA,France,party_names_merged 4(1) (2).xlsx,Sheet1,154
Ecology at the Centre–EÉÉ–RUE–GA–Ecqo–LaFRA,Écologie au Centre–Europe Écologie–Rue–Gauche Alternative–Écologistes Conscients et Quotidiens–La France Responsable et Alternative,EAC–EÉÉ–RUE–GA–Ecqo–LaFRA,France,party_names_merged 4(1) (2).xlsx,Sheet1,155
Popular Republican Union,Union Populaire Républicaine,UPR,France,party_names_merged 4(1) (2).xlsx,Sheet1,156
The Patriots–VIA,Les Patriotes–VIA,LP–VIA,France,party_names_merged 4(1) (2).xlsx,Sheet1,157
Lutte Ouvrière–Combat Ouvrier,Lutte Ouvrière–Combat Ouvrier,LO–CO,France,party_names_merged 4(1) (2).xlsx,Sheet1,158
Positive Ecology–Cap21–FÉ–Le Trèfle–LU–100%C–MPA–BNP,Écologie Positive–Cap21–France Écologie–Le Trèfle–Liberté et Union–100% Citoyens–Mouvement pour la Paix et l'Amour–Bonheur National pour le Peuple,EP–Cap21–FÉ–Trèfle–LU–100%C–MPA–BNP,France,party_names_merged 4(1) (2).xlsx,Sheet1,159
Équinoxe,Équinoxe,Équinoxe,France,party_names_merged 4(1) (2).xlsx,Sheet1,160
Radical Party of the Left–R&PS–Volt–MdP–MDC–CSDR,Parti Radical de Gauche–Radicaux de Gauche et Socialistes–Volt–Mouvement des Progressistes–Mouvement Démocrate et Citoyen–Collectif Social Démocrate Radical,PRG–R&PS–Volt–MdP–MDC–CSDR,France,party_names_merged 4(1) (2).xlsx,Sheet1,161
New Anticapitalist Party – Revolutionaries,Nouveau Parti Anticapitaliste – Révolutionnaires,NPA–R,France,party_names_merged 4(1) (2).xlsx,Sheet1,162
Pirate Party,Parti Pirate,PP,France,party_names_merged 4(1) (2).xlsx,Sheet1,163
Union of French Muslim Democrats,Union des Démocrates Musulmans Français,UDMF,France,party_names_merged 4(1) (2).xlsx,Sheet1,164
Sovereign Republic–L'Appel au peuple,République Souveraine–L'Appel au peuple,RS–AAP,France,party_names_merged 4(1) (2).xlsx,Sheet1,165
New Deal–Allons Enfants,Nouvelle Donne–Allons Enfants,ND–AE,France,party_names_merged 4(1) (2).xlsx,Sheet1,166
Europe–Democracy–Esperanto,Europe–Démocratie–Espéranto,EDE,France,party_names_merged 4(1) (2).xlsx,Sheet1,167
Party of European Citizens–ELLES,Parti des Citoyens Européens–ELLES,PCE–ELLES,France,party_names_merged 4(1) (2).xlsx,Sheet1,168
The Nationalists,Les Nationalistes,LN,France,party_names_merged 4(1) (2).xlsx,Sheet1,169
Free France–Union of the Resistance,France Libre–Union de la Résistance,FF–UR,France,party_names_merged 4(1) (2).xlsx,Sheet1,170
Defend the Children,Défendre les Enfants,DE,France,party_names_merged 4(1) (2).xlsx,Sheet1,171
Workers' Party,Parti des Travailleurs,PT,France,party_names_merged 4(1) (2).xlsx,Sheet1,172
La Ruche Citoyenne,La Ruche Citoyenne,LRC,France,party_names_merged 4(1) (2).xlsx,Sheet1,173
Citizens' Federation,Fédération des Citoyens,FC,France,party_names_merged 4(1) (2).xlsx,Sheet1,174
EPPOC–Brouette–Décroissance,EPPOC–Brouette–Décroissance,EPPOC–B–D,France,party_names_merged 4(1) (2).xlsx,Sheet1,175
National Association of Communists,Association Nationale des Communistes,ANC,France,party_names_merged 4(1) (2).xlsx,Sheet1,176
Stay Free,Rester Libre,RL,France,party_names_merged 4(1) (2).xlsx,Sheet1,177
Communist Revolutionary Party,Parti Communiste Révolutionnaire,PCR,France,party_names_merged 4(1) (2).xlsx,Sheet1,178
Let's Decide Ourselves!,Décidons Nous-Mêmes!,DNM,France,party_names_merged 4(1) (2).xlsx,Sheet1,179
French Democratic Freedom–New Patriotic Emergence,Liberté Démocratique Française–Nouvelle Émergence Patriotique,LDF–NEP,France,party_names_merged 4(1) (2).xlsx,Sheet1,180
For a Sovereign Humanity,Pour une Humanité Souveraine,PHS,France,party_names_merged 4(1) (2).xlsx,Sheet1,181
Representative Democracy,Démocratie Représentative,DR,France,party_names_merged 4(1) (2).xlsx,Sheet1,182
National Rally,Rassemblement National,RN,France,party_names_merged 4(1) (2).xlsx,Sheet1,183
La République En Marche–Democratic Movement,Renaissance–Mouvement Démocratique,RE–MoDem,France,party_names_merged 4(1) (2).xlsx,Sheet1,184
Europe Ecology – The Greens,Europe Écologie – Les Verts,EELV,France,party_names_merged 4(1) (2).xlsx,Sheet1,185
The Republicans–The Centrists,Les Républicains–Les Centristes,LR–LC,France,party_names_merged 4(1) (2).xlsx,Sheet1,186
La France Insoumise,La France Insoumise,LFI,France,party_names_merged 4(1) (2).xlsx,Sheet1,187
Socialist Party–Place Publique–New Deal,Parti Socialiste–Place Publique–Nouvelle Donne,PS–PP–ND,France,party_names_merged 4(1) (2).xlsx,Sheet1,188
Debout la France–CNIP,Debout la France–Centre National des Indépendants et Paysans,DLF–CNIP,France,party_names_merged 4(1) (2).xlsx,Sheet1,189
Génération.s,Génération.s,GEN,France,party_names_merged 4(1) (2).xlsx,Sheet1,190
Union of Democrats and Independents,Union des Démocrates et Indépendants,UDI,France,party_names_merged 4(1) (2).xlsx,Sheet1,191
French Communist Party,Parti Communiste Français,PCF,France,party_names_merged 4(1) (2).xlsx,Sheet1,192
Animalist Party,Parti Animaliste,PA,France,party_names_merged 4(1) (2).xlsx,Sheet1,193
GE–MEI–MdP,Génération Écologie–Mouvement Écologiste Indépendant–Mouvement de Progressistes,GE–MEI–MdP,France,party_names_merged 4(1) (2).xlsx,Sheet1,194
Popular Republican Union,Union Populaire Républicaine,UPR,France,party_names_merged 4(1) (2).xlsx,Sheet1,195
Lutte Ouvrière,Lutte Ouvrière,LO,France,party_names_merged 4(1) (2).xlsx,Sheet1,196
The Patriots,Les Patriotes,LP,France,party_names_merged 4(1) (2).xlsx,Sheet1,197
Yellow Alliance,Alliance Jaune,AJ,France,party_names_merged 4(1) (2).xlsx,Sheet1,198
National Coordination of Independents,Coordination Nationale des Indépendants,CNI,France,party_names_merged 4(1) (2).xlsx,Sheet1,199
Pirate Party,Parti Pirate,PP,France,party_names_merged 4(1) (2).xlsx,Sheet1,200
Union of French Muslim Democrats,Union des Démocrates Musulmans Français,UDMF,France,party_names_merged 4(1) (2).xlsx,Sheet1,201
Europe–Democracy–Esperanto,Europe–Démocratie–Espéranto,EDE,France,party_names_merged 4(1) (2).xlsx,Sheet1,202
European Federalist Party,Parti Fédéraliste Européen,PFE,France,party_names_merged 4(1) (2).xlsx,Sheet1,203
Association of Objectors to Growth,Association des Objecteurs de Croissance,ADOC,France,party_names_merged 4(1) (2).xlsx,Sheet1,204
Let's Go Children,Allons Enfants,AE,France,party_names_merged 4(1) (2).xlsx,Sheet1,205
Equal Voice,Voix Égale,VE,France,party_names_merged 4(1) (2).xlsx,Sheet1,206
European Citizens' Party,Parti des Citoyens Européens,PCE,France,party_names_merged 4(1) (2).xlsx,Sheet1,207
Movement for the Citizen's Initiative,Mouvement pour l'Initiative Citoyenne,MIC,France,party_names_merged 4(1) (2).xlsx,Sheet1,208
"Democratic Union for Liberty, Equality, Fraternity","Union Démocratique pour la Liberté, l'Égalité, la Fraternité",UDLEF,France,party_names_merged 4(1) (2).xlsx,Sheet1,209
French Dissidence,Dissidence Française,DF,France,party_names_merged 4(1) (2).xlsx,Sheet1,210
Alliance Royale,Alliance Royale,AR,France,party_names_merged 4(1) (2).xlsx,Sheet1,211
La Révolution Est En Marche,La Révolution Est En Marche,LREM,France,party_names_merged 4(1) (2).xlsx,Sheet1,212
Citizen Evolution,Évolution Citoyenne,EC,France,party_names_merged 4(1) (2).xlsx,Sheet1,213
"Sovereignty, Independence and Liberties–Innocence Party","Souveraineté, Indépendance et Libertés–Parti de l'Innocence",SIL–PI,France,party_names_merged 4(1) (2).xlsx,Sheet1,214
Revolutionary Communist Party,Parti Communiste Révolutionnaire,PCR,France,party_names_merged 4(1) (2).xlsx,Sheet1,215
Neutral and Active,Neutre et Actif,NA,France,party_names_merged 4(1) (2).xlsx,Sheet1,216
Christian Democratic Union of Germany,Christlich Demokratische Union Deutschlands,CDU,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,217
Alternative for Germany,Alternative für Deutschland,AfD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,218
Social Democratic Party of Germany,Sozialdemokratische Partei Deutschlands,SPD,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,219
Alliance 90,Bündnis 90/Die Grünen,Greens,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,220
Christian Social Union in Bavaria,Christlich-Soziale Union in Bayern,CSU,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,221
Bündnis Sahra Wagenknecht,Bündnis Sahra Wagenknecht,BSW,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,222
Free Democratic Party,Freie Demokratische Partei,FDP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,223
